psa_nr;aufstellort;bezirk_gebiet;abschnitt_von;abschnitt_bis;stellplaetze;roter_punkt;gebuehrenzeit;gebuehr_je_15_min_euro;hoechtsparkdauer_stunde;tagesgebuehr_euro;tarifzone;geokoordinate_nord;geokoordinate_ost
1;Deutzer Freiheit 53;Deutz I;Siegburger Str.;Düppelstr.;9;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,9368737870142;6,97247939703996
2;Offenbachplatz 3;City/Martinsviertel;;;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9379620905046;6,95324554326739
3;Turkuplatz;Chorweiler;Athener Ring;Willi-Suth-Allee;33;;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;51,0197583817921;6,89721986338698
4;Neusser Str. 453;Nippes;Bergstraße;Mauenheimer Gürtel;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9724826862996;6,95046468195954
5;Liverpooler Platz A;Chorweiler;Platzfläche;;45;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;500028;51,0209589259414;6,89863529576492
6;Haselnußweg 36;Chorweiler;Mercatorstr.;Taborplatz;11;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;51,0116775663037;6,90594695652985
7;Jahnstr. 9/Taubengasse 15;Griechenmarktviertel;Mauritiuswall;Humboldtstr.;38;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9318254602338;6,9424170324001
8;Jan-Wellem-Str. 2;Mülheim;Platz;;65;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9605778291494;7,00472456170289
9;Bonner Wall 2a;Südliche Neustadt II;Bonner Straße;Ohmstraße;6;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9164550241429;6,9607031666605
10;Vorsterstr. 68;Kalk;Parkplatz;;79;Kalk;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9385312925406;7,00191072288273
11;Buchheimer Str. 56 Platz;Mülheim;;;29;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9625298044727;7,00332411543077
12;Kunibertsklostergasse 16;Kunibertsviertel;Kunibertsklostergasse;Dagobertstr.;11;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9472588035758;6,96274979518348
13;Hauptstr. 85 / Rathaus;Rodenkirchen;;;35;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,891940618642;6,9966612105943
14;Mühlenstr. 49 Platz;Porz;;;45;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,8827444342012;7,0584936548839
15;Deutzer Freiheit 85-87;Deutz I;Düppelstr.;Neuhöffer Str.;12;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500065;50,9368293219422;6,97416280617254
16;Deutzer Freiheit 106;Deutz I;Neuhöffer Str.;Reischplatz;7;;Mo-Sa 09:00 - 21:00;1,00 €;2;;500070;50,9368528800387;6,97639800299512
17;Kirchstr. 2;Rodenkirchen;;;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8947259723895;6,99363351732095
18;Fuchsstraße (Parkplatz);Ehrenfeld;Venloer Str.;Sportplatz;47;EHRE III;Mo-Sa 09:00 - 21:00;0,50 €;12;Ja;500102;50,9462033115829;6,9280440760864
19;Holweider Str. ggü. 124;Mülheim;Carls-Werk-Str.;Zehntstr.;10;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;500029;50,9642090425284;7,01678358679452
20;Yitzhak-Rabin-Platz;Rathenauviertel;Engelbertstr.;Hohenstaufenring;40;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9330093865705;6,93877042573153
21;Oststr. 12 Platz;Rodenkirchen;Platzfläche;;37;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8929470062552;6,9971915324663
22;freie Nummer (ehemals Barbarastr. 47-49 Platz);Rodenkirchen;;;44;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8934078649025;6,99741589367034
23;Frohngasse (Zoobrücke links);lrh. ohne BWP;;;76;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9564012232745;6,9721748563453
24;An der Flora (Zoobrücke rechts);lrh. ohne BWP;rückseitig zu PSA 2779;;64;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9573529578551;6,97085932669675
25;Am Marktplatz 1 (Ensen)Platz;Porz;;;63;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,8978112410946;7,0287128003158
26;Kyotostr. 17;Gereonsviertel;Gereonsmühlengasse;Klingelpütz;21;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9452612196561;6,94891721839323
27;Im Weidenbruch 135;Mülheim;;;25;;Mo-Sa 09:00 - 18:00;0,50 €;1;;500037;50,981538365461;7,03344518127314
28;An der Kemperwiese 4;Mülheim;Platz;;43;;"Mo-Mi+Fr 09:00 - 18:00; Do 14:00 - 18:00 + Sa 09:00 - 14:00";0,50 €;4;;500035;50,9759398935597;7,07522296982413
29;Hansaring ggü. 83  (Mittelinsel);Eigelsteinviertel;Ritterstraße;Bremer Str.;64;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,948153075888;6,94983864342903
30;Ostlandstraße ggü. 26;Weiden-Süd;Tilsiter Weg;Göttinger Straße;5;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9355777095909;6,83907363936264
31;Weyerstr. 100;Griechenmarktviertel;Weyerstr.;Neue Weyerstr.;25;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9301559387247;6,94259027576532
32;Ostlandstraße 30;Weiden-Süd;Tilsiter Weg;Göttinger Straße;7;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9357091643828;6,83882135141953
33;Vorgebirgstr. 39;Südliche Neustadt II;Loreleystr.;Volksgartenstr.;19;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200859593378;6,95054204444892
34;Vorgebirgstr. 19;Südliche Neustadt II;Volksgartenstr.;Vondelstr.;7;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9216190102934;6,95145718793784
35;Volksgartenstr. 20 (Insel);Südliche Neustadt II;Metzer Str.;Vorgebirgstr.;85;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9206323568821;6,9520530628205
36;Volksgartenstr. 4 (Insel);Südliche Neustadt II;Martin-Luther-Platz;;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9200233245351;6,9534863425311
37;Rolandstr. 95 Insel;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;41;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,919541584863;6,95481697696704
38;Rolandstr. 80 Insel;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;51;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9194199214699;6,95546449044158
39;Rolandstr. 57 Insel;Südliche Neustadt II;Maria-Hilf-Str.;Zugweg;57;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9188274357349;6,95721383344722
40;Brunostr. 24;Südliche Neustadt II;Elsaßstr.;Sachsenring;13;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9217418827412;6,9559791467162
41;Metzer Str. 5;Südliche Neustadt II;Elsaßstr.;Karolingerring;20;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9217993196206;6,95543178406299
42;Siegfriedstr. 17 Platz;Südliche Neustadt II;Kirchplatz;;39;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9176879763729;6,96285744802915
43;Teutoburgerstr. 12 Insel;Südliche Neustadt II;Bonner Str.;Alteburger Str.;92;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,918614122305;6,96157318412492
44;Teutoburgerstr. 27 Insel;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;65;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9189505489441;6,96355649041324
45;Mainzer Str. 1-3 Insel;Südliche Neustadt II;Ubierring;Maternusstr.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9211953577262;6,96375344025248
46;Mainzer Str. 25 Insel;Südliche Neustadt II;Maternusstr.;Teutoburger Str.;81;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9201855408294;6,96418260829795
47;Mainzer Str. 47 Insel;Südliche Neustadt II;Teutoburger Str.;Alteburger Str.;69;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,918297912113;6,964857671697
48;Mainzerstr. 78 Insel;Südliche Neustadt II;Teutoburger Str.;Alteburger Str./Insel;73;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9174351354126;6,96499596317606
49;Maternusstr. 8;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9208828502679;6,96298808529905
50;Maternusstr. 31;Südliche Neustadt II;Trajanstr.;Agrippinaufer;26;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9206367363594;6,96704088200033
51;Claudiusstr. 1 LT 6 Park;Südliche Neustadt II;Nordteil;;63;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9200887127024;6,96650050892411
52;Claudiusstr. 1 FH;Südliche Neustadt II;Südteil;;67;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,919320254982;6,96703311340983
53;Merowingerstr. 65;Südliche Neustadt II;Vondelstr.;Rolandstr.;16;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200906711816;6,95496448793158
54;Merowingerstr. 37;Südliche Neustadt II;Elsaßstr.;Vondelstr.;9;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9204087407532;6,95655051841019
55;Bonner Wall 6;Südliche Neustadt II;Ohmstr.;Zugweg;14;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9166692402716;6,95881357241115
56;Bonner Wall 17;Südliche Neustadt II;Ohmstr.;Zugweg;24;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9168279931722;6,95740051238558
57;Trajanstr. 39;Südliche Neustadt II;Ubierring;Maternusstr.;79;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9211439142085;6,96625333852215
58;Trajanstr. 15;Südliche Neustadt II;Maternusstr.;Mainzer Str.;66;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200440968842;6,96545068902765
59;Ohmstr. 34;Südliche Neustadt II;Bonner Wall;Rolandstr.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9170492023179;6,95964194801911
60;Ohmstr. 16;Südliche Neustadt II;Bonner Wall;Rolandstr.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9178461791628;6,95944763069545
61;Zugweg 42;Südliche Neustadt II;Bonner Wall;Haus Nr. 44;10;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9181141777082;6,95746309514653
62;Zugweg 29-31;Südliche Neustadt II;Bonner Wall;Rolandstr.;15;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9175874075656;6,95678152384176
63;Zugweg 48;Südliche Neustadt II;Bucht;;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,917698971859;6,95673835896971
64;Rolandstr. 9 Insel;Südliche Neustadt II;Ohmstr.;Bonner Str.;24;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9184797301023;6,95955254507895
65;Rolandstr. 8-10 Insel;Südliche Neustadt II;Zugweg;Ohmstr.;45;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9186027329879;6,95881905480148
66;Merowingerstr. 4;Südliche Neustadt II;Elsaßstr.;Bonner Str.;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9208104258627;6,95809420800882
67;Merowingerstr. 22;Südliche Neustadt II;Elsaßstr.;Vondelstr.;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9204611228047;6,95635477216585
68;Merowingerstr. 50;Südliche Neustadt II;Vondelstr.;Rolandstr.;22;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9201318217571;6,95473029429969
69;Ubierring 48;Südliche Neustadt II;Mainzer Str.;Trajanstr.;25;SÜD II + SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9217269459171;6,96544712637439
70;Kartäuserwall 19-21;Severinsviertel;Haus Nr. 20;Severinstr.;34;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9222087403987;6,95800735711813
71;Severinstr. 82;Severinsviertel;Kartäuserhof;Jakobstr.;5;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,9254090494409;6,95830650977227
72;Frankfurter Str. 182 Porz-Wahn;Porz;ggü. Heidestr.;;16;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8566720089601;7,08642172481472
73;Severinstr. 99;Severinsviertel;Jakobstr.;Josephstr.;9;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,926130995553;6,95809939582176
74;Severinstr. 121;Severinsviertel;Josephstr.;Im Dau;15;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,9269661970193;6,95784111733748
75;Severinstr. 165;Severinsviertel;Im Dau;An St. Katharinen;13;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,9280261261741;6,95754843986177
76;Achterstr. 52;Severinsviertel;Landsbergstr.;Rosenstr.;15;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,927287331744;6,95872926568892
77;Achterstr. 29 Platz;Severinsviertel;Rosenstr.;Achtergäßchen;47;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9263270018652;6,95866390441035
78;Im Ferkulum 14;Severinsviertel;Silvanstr.;Severinswall;9;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9225941948557;6,95974869600105
79;Severinswall 4 Platz;Severinsviertel;Parkplatz;;10;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9222640397198;6,96014484867403
80;Alteburger Str. 14;Severinsviertel;Ubierring;Severinswall;52;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92189582451;6,96162537945208
81;Dreikönigenstr. 40;Severinsviertel;Bayenstr.;Zwirnerstr.;14;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9248594199397;6,9633805867753
82;Prälat-Otto-Müller-Platz 2;Agnesviertel I;Wevelinghovener Straße;Krefelder Wall;22;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9544650207995;6,95371909453945
83;An der Bottmühle 6;Severinsviertel;Ubierring;Severinswall;35;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9224425336857;6,96352485972522
84;An der Bottmühle 7;Severinsviertel;Ubierring;Severinswall;33;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9223218072162;6,96302189633279
85;Severinskirchplatz 6;Severinsviertel;Im Ferkulum;Severinstr.;22;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9232152583588;6,95948060665632
86;Kartäusergasse 7;Severinsviertel;Jakobsstr.;Kartäuserhof;6;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9242471394497;6,95646909476981
87;Josephstr. 8 Platz;Severinsviertel;Platz;;25;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9260873295512;6,9573189241643
88;Josephstr. 8 Parkpalette unten;Severinsviertel;Platz;;80;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9261939174955;6,95650084750876
89;Ulrichgasse 2;Severinsviertel;Nebenanlage;;29;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9247134365907;6,95330309787692
90;Annostr. 78;Severinsviertel;Dreikönigenstr.;Biberstr.;30;SEV;Mo-Sa 09:00 - 23:00;1,00 €;2;;500041;50,9251494864359;6,96135536985414
91;Drususgasse 9-11;City/Martinsviertel;Minoritenstr.;An der Rechtschule;29;CITY;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9397580167545;6,95399324293418
92;freie Nummer (ehemals An der Rechtschule WDR);City/Martinsviertel;Mariengartengasse;Richartzstr.;14;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9401455695523;6,95459892921699
93;freie Nummer (ehemals An der Rechtschule Museum);City/Martinsviertel;Drususgasse;Richartzstr.;27;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,940285607573;6,95430752753031
94;Danziger Str. ggü. 34;Weiden-Süd;Bunzlauer Str.;Tilsitter Weg;3;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9368216736167;6,8380066767657
95;Ostlandstr. 14;Weiden-Süd;Breslauer Str.;Königsberger Str.;8;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9356948863252;6,84198700732573
96;Neven-du-Mont-Str. 5;Nördlich Neumarkt;Kupfergasse;Breite Str.;20;NEU;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9396910432163;6,95035606386253
97;Kleiner Griechenmarkt 69;Griechenmarktviertel;Großer Griechenmarkt;Thieboldsgasse;28;GRI;Mo-Sa 09:00 - 23:00;1,00 €;2;;500041;50,9312573205914;6,94813158699096
98;Siegburger Str. 363;Porz;;;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9165440229561;6,99084365335094
99;Siegburger Str. 366;Porz;;;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9162362007113;6,9910834828134
100;Rathausstr. 2;Porz;;;29;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,8858632076626;7,05418871960047
101;Karlstr. ggü. 16;Porz;;;20;PORZ;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,8856234707328;7,05691220826098
102;Josefstr. 18;Porz;;;13;;Mo-Fr 08:00 - 19:00 + Sa 08:00 - 16:00;0,50 €;0;;500031;50,885869874994;7,05807905404086
103;Kaiserstr. 3;Porz;;;26;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8812738426455;7,08078597119757
104;Am Trutzenberg ggü. Spielplatz;Pantaleonsviertel;Sachsenring;Kartäuserwall;29;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9264816873977;6,94754128877233
105;Pantaleonswall A;Pantaleonsviertel;Waisenhausgasse;Am Trutzenberg;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9268219861608;6,94736742172658
106;Waisenhausgasse 70;Pantaleonsviertel;Pantaleonswall;Salierring;15;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9267320988229;6,94697611618678
107;Am Trutzenberg ggü. 42;Pantaleonsviertel;Vor den Siebenburgen;Kartäuserwall;38;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9270765591547;6,9482617947083
108;Kartäuserwall 40 Schule;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;6;PAN;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9264520778984;6,94823047100069
109;Kartäuserwall 40;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;35;PAN;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9259340007502;6,94941778266123
110;Kartäuserwall 41;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;31;PAN;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9250922464838;6,95143668283679
111;Vor den Siebenburgen 6;Pantaleonsviertel;Ulrichgasse;Schnurgasse;13;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9264178188674;6,95303766142881
112;Schnurgasse ggü. 49;Pantaleonsviertel;Steinstr.;Paulstr.;30;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9273536908164;6,95267022332491
113;Aachener Str. 449;Hültzviertel;Fürst-Pückler-Straße;Stadtwaldgürtel;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9278373592378;6,95212237595687
114;Wilhelm-Hoßdorf-Str. 1;Pantaleonsviertel;Friedenstr.;Schnurgasse;32;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9287718306791;6,95445866971553
115;Ankerstr. 15;Pantaleonsviertel;Schnurgasse;Ulrichgasse;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9279451130426;6,95514029361751
116;Waisenhausgasse 43;Pantaleonsviertel;Martinsfeld;Vor den Siebenburgen;46;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9283572273612;6,94879074971973
117;Waisenhausgasse 52;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9274025215719;6,94754635364963
118;Waisenhausgasse 65;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9271260832677;6,94740218962784
119;Trierer Str. 8;Pantaleonsviertel;Waisenhausgasse;Am Weidenbach;38;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,927806429936;6,94659288618113
120;Am Weidenbach 29;Pantaleonsviertel;Trierer Str.;Am Pantaleonsberg;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9282571354917;6,94607481886527
121;Pantaleonstr. 16;Pantaleonsviertel;Waisenhausgasse;Rothgerberbach;20;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9299978361565;6,95006690217811
122;Rothgerberbach 3;Pantaleonsviertel;Pantaleonstr.;Waisenhausgasse;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9304376446347;6,9506713398125
123;Blaubach 9;Pantaleonsviertel;Perlengraben;Tel-Aviv-Str.;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9310201615582;6,9529867008243
124;Mengelbergstr. 1;Pantaleonsviertel;Tel-Aviv-Str.;Perlengraben;9;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9301776453211;6,95423363883698
125;Olpener Str. 803 Platz;Kalk;;;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9454088185957;7,07563610911529
126;Gudrunstr. 2;Rodenkirchen;;;25;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8908531817538;6,99617970642977
127;Oststr. 13;Rodenkirchen;Barbarastr.;Parkplatz 21;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8933418288295;6,9967655248441
128;Liverpooler Platz;Chorweiler;Platzfläche;;40;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;500028;51,0209067110563;6,8980146653598
129;Kerpener Str. 2;Lindenthal Süd I;Meister-Ekkehard-Str.;Universitätsstr.;8;Lind-S I;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9262331561345;6,9311707425355
130;Riehler Str.;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9584038608238;6,97476761878623
131;Berrenrather Str. 161;Sülz-Nord I;Arnulfstr.;Konradstr.;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9208743225928;6,92845723414171
132;Berrenrather Str. 230;Sülz-Nord I;Gustavstr.;Marsiliusstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9188762019102;6,92579519615432
133;Berrenrather Str. 201;Sülz-Nord I;Nikolausplatz;Wittekindstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9187528435705;6,92589607026392
134;Berrenrather Str. 213;Sülz-Nord I;Wittekindstr.;Sülzburgstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,918048584026;6,92497472659358
135;Berrenrather Str. 359;Sülz-Nord II;Gerolsteiner Str.;Manderscheider Pl.;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9156469805462;6,92243677945837
136;Zülpicher Str. 337;Lindenthal Süd II;Sülzburgstr.;Gerolsteiner Str.;19;Lind-S II + Sülz-N II;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,920768480519;6,91726096904045
137;Zülpicher Str. 296;Lindenthal Süd II;Jos.-Stelzmann-Str.;Leichtensternstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9220935539914;6,92103314906885
138;Zülpicher Str. 257;Lindenthal Süd I;Ägidiusstr.;Redwitzstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9228501774409;6,92352293474252
139;Zülpicher Str. 272;Lindenthal Süd I;Robert-Koch-Str.;Jos.-Stelzmann-Str.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9229451429145;6,92343653907984
140;Zülpicher Str. 239;Lindenthal Süd I;Weyertal;Ägidiusstr.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9233531211511;6,92503377139774
141;Zülpicher Str. 236;Lindenthal Süd I;Weyertal;Robert-Koch-Str.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9233940371522;6,9247481183327
142;Bonner Wall;Südliche Neustadt II;Wormser Str.;Bonner Str.;;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9165759186198;6,95839086890821
143;Zülpicher Str. 193;Lindenthal Süd I;Gymnicher Str.;Weyertal;27;Lind-S I + Sülz-N I;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9243583065746;6,92820970569022
144;Zülpicher Str. 180;Lindenthal Süd I;Universitätsstr.;Gymnicher Str.;11;Lind-S I;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9248186608235;6,92911093290586
145;Bernhardstr. 97/2 bis 97/3;Bayenthal I;Tacitusstr.;Samariterstr.;9;BAY I;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;;
146;Aachener Str. 489;Hültzviertel;Kitschburger Str.;Fürst-Pückler Str.;25;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9369813620503;6,90201558175249
147;Jean-Claude-Letist-Platz;Rathenauviertel;Lindenstr.;Händelstr.;16;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9339456362148;6,936119611252
148;Hansaring 102 Insel;Eigelsteinviertel;Lübecker Straße;Eigelstein;16;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9501682473127;6,95579078672197
149;Hansaring 55 Insel;Eigelsteinviertel;Am Kümpchenshof;Adolf-Fischer-Straße;43;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9471635261182;6,94742732909334
150;Reichensperger Platz 1;Agnesviertel II;Rondell;;23;;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9543845612572;6,96322166963746
